2,19,19000,0
2,35,20000,0
1,26,43000,0
1,27,57000,0
2,27,58000,0
1,32,150000,1
2,25,33000,0
1,35,65000,0
1,26,80000,0
1,26,52000,0
2,32,18000,0
2,18,82000,0
2,29,80000,0
2,47,25000,1
2,45,26000,1
2,46,28000,1
1,48,29000,1
2,45,22000,1
2,48,41000,1
1,45,22000,1
2,47,20000,1
2,49,28000,1
1,47,30000,1
2,29,43000,0
2,31,18000,0
2,31,74000,0
1,27,137000,1
1,21,16000,0
1,28,44000,0
2,27,90000,0
2,35,27000,0
2,30,49000,0
1,26,72000,0
1,27,17000,0
2,35,108000,0
2,30,15000,0
1,28,84000,0
2,23,20000,0
2,25,79000,0
1,27,54000,0
2,30,135000,1
1,31,89000,0
1,24,32000,0
1,18,44000,0
1,29,83000,0
1,35,23000,0
1,27,58000,0
1,24,55000,0
1,23,48000,0
2,28,79000,0
2,22,18000,0
1,32,117000,0
2,27,20000,0
2,25,87000,0
1,23,66000,0
2,32,120000,1
2,24,58000,0
2,24,19000,0
1,23,82000,0
1,22,63000,0
1,31,68000,0
2,25,80000,0
1,24,27000,0
1,20,23000,0
1,33,113000,0
2,32,18000,0
2,34,112000,1
2,18,52000,0
1,22,27000,0
1,28,87000,0
1,26,17000,0
2,39,42000,0
2,35,88000,0
1,30,62000,0
1,31,118000,1
2,24,55000,0
1,28,85000,0
2,26,81000,0
2,35,50000,0
2,22,81000,0
2,26,15000,0
1,29,28000,0
1,29,83000,0
1,35,44000,0
1,35,25000,0
2,28,123000,1
2,35,73000,0
1,28,37000,0
2,27,88000,0
2,28,59000,0
1,32,86000,0
1,33,149000,1
1,19,21000,0
2,21,72000,0
1,26,35000,0
2,26,86000,0
1,38,80000,0
1,39,71000,0
1,37,71000,0
2,38,61000,0
2,37,55000,0
2,42,80000,0
2,40,57000,0
2,35,75000,0
2,36,52000,0
2,40,59000,0
2,41,59000,0
1,36,75000,0
2,37,72000,0
1,40,75000,0
2,35,53000,0
1,41,51000,0
1,39,61000,0
2,42,65000,0
2,26,32000,0
2,30,17000,0
1,26,84000,0
2,31,58000,0
2,33,31000,0
2,30,87000,0
1,21,68000,0
1,28,55000,0
2,23,63000,0
1,20,82000,0
2,30,107000,1
1,28,59000,0
2,19,25000,0
2,19,85000,0
1,18,68000,0
2,35,59000,0
2,30,89000,0
1,34,25000,0
1,24,89000,0
1,27,96000,1
1,41,30000,0
2,29,61000,0
2,20,74000,0
1,26,15000,0
2,41,45000,0
1,36,50000,0
2,40,47000,0
1,31,15000,0
2,46,59000,0
2,29,75000,0
2,26,30000,0
1,32,135000,1
2,32,100000,1
2,25,90000,0
1,37,33000,0
2,35,38000,0
1,33,69000,0
1,18,86000,0
1,22,55000,0
1,35,71000,0
2,29,148000,1
1,29,47000,0
2,21,88000,0
2,34,115000,0
1,26,118000,0
1,34,43000,0
1,34,72000,0
1,23,28000,0
1,35,47000,0
2,25,22000,0
2,24,23000,0
1,31,34000,0
2,26,16000,0
1,31,71000,0
1,32,117000,1
1,33,60000,0
1,20,82000,0
1,33,41000,0
2,35,72000,0
2,28,32000,0
1,19,26000,0
2,29,43000,0
2,19,70000,0
2,28,89000,0
2,34,43000,0
1,30,79000,0
1,20,36000,0
2,26,80000,0
2,35,22000,0
2,35,39000,0
2,49,74000,0
1,39,134000,1
1,41,71000,0
1,58,101000,1
1,55,130000,1
1,52,114000,0
1,40,142000,1
1,46,22000,0
1,48,96000,1
2,52,150000,1
1,59,42000,0
2,35,58000,0
2,47,43000,0
2,49,65000,0
2,40,78000,0
1,46,96000,0
2,59,143000,1
1,41,80000,0
2,35,91000,1
2,37,144000,1
2,60,102000,1
1,35,60000,0
2,37,53000,0
1,36,126000,1
2,56,133000,1
1,40,72000,0
1,42,80000,1
1,35,147000,1
2,39,42000,0
2,40,107000,1
2,49,86000,1
1,38,112000,0
2,46,79000,1
2,40,57000,0
1,37,80000,0
1,46,82000,0
2,42,149000,1
2,38,59000,0
1,50,88000,1
1,56,104000,1
1,41,72000,0
1,51,146000,1
1,35,50000,0
1,57,122000,1
2,41,52000,0
1,44,39000,0
2,37,52000,0
1,48,134000,1
1,37,146000,1
1,50,44000,0
1,52,90000,1
1,41,72000,0
2,40,57000,0
1,58,95000,1
1,45,131000,1
1,35,77000,0
2,36,144000,1
1,55,125000,1
1,35,72000,0
2,48,90000,1
1,42,108000,1
2,40,75000,0
2,37,74000,0
2,40,61000,0
1,43,133000,0
1,59,76000,1
2,60,42000,1
2,39,106000,1
1,57,26000,1
2,57,74000,1
2,38,71000,0
2,49,88000,1
1,52,38000,1
2,37,70000,1
1,52,21000,1
2,48,141000,0
1,37,93000,1
2,41,79000,0
1,37,78000,1
2,39,134000,1
2,49,89000,1
2,55,39000,1
2,37,77000,0
2,42,73000,1
1,43,112000,1
2,45,79000,0
2,46,117000,1
1,58,38000,1
2,48,74000,1
1,37,137000,1
2,37,79000,1
1,40,60000,0
2,42,54000,0
1,51,134000,0
1,47,113000,1
2,36,125000,1
1,38,50000,0
1,42,70000,0
2,39,96000,1
1,38,50000,0
1,49,141000,1
1,39,79000,0
1,39,75000,1
2,35,55000,0
2,45,32000,1
2,36,60000,0
1,52,138000,1
1,53,82000,1
1,48,30000,1
1,48,131000,1
1,41,60000,0
2,41,72000,0
1,42,75000,0
2,36,118000,1
2,38,51000,0
1,48,119000,1
2,42,65000,0
2,40,65000,0
2,57,60000,1
2,58,144000,1
2,39,122000,1
1,53,104000,1
2,35,75000,0
1,38,65000,0
1,47,51000,1
2,47,105000,1
1,41,63000,0
2,53,72000,1
2,39,77000,0
2,38,61000,0
1,38,113000,1
2,37,75000,0
1,42,90000,1
1,37,57000,0
2,36,99000,1
2,60,34000,1
2,54,70000,1
1,41,72000,0
2,42,54000,0
2,43,129000,1
1,53,34000,1
1,47,50000,1
1,42,79000,0
2,42,104000,1
1,59,29000,1
1,58,47000,1
2,46,88000,1
2,38,71000,0
1,54,26000,1
1,60,46000,1
2,59,130000,1
1,37,80000,0
1,46,32000,1
1,46,74000,0
1,42,53000,0
1,58,23000,1
2,42,64000,0
2,48,33000,1
1,44,139000,1
2,49,28000,1
1,57,33000,1
2,56,60000,1
1,49,39000,1
2,39,71000,0
2,47,34000,1
1,48,35000,1
2,48,33000,1
2,47,23000,1
1,45,45000,1
2,60,42000,1
1,39,59000,0
1,46,41000,1
2,51,23000,1
1,50,20000,1
2,36,33000,0
1,49,36000,1
